date,recovered,total_recovered
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,3,3
22,0,3
23,0,3
24,0,3
25,0,3
26,0,3
27,0,3
28,0,3
29,0,3
30,0,3
31,0,3
32,0,3
33,51,54
34,4,58
35,5,63
36,5,68
37,3,71
38,29,100
39,0,100
40,40,140
41,0,140
42,199,339
43,29,368
44,43,411
45,90,501
46,96,597
47,99,696
48,84,780
49,58,838
50,84,922
51,86,1008
52,53,1061
53,89,1150
54,57,1207
55,55,1262
56,66,1328
57,38,1366
58,191,1557
59,86,1643
60,77,1720
61,86,1806
62,107,1913
63,219,2132
64,1301,3433
65,0,3433
66,0,3433
67,0,3433
68,0,3433
69,0,3433
70,0,3433
71,0,3433
72,0,3433
73,0,3433
74,0,3433
75,103,3536
76,0,3536
77,0,3536
78,0,3536
79,24,3560
