dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,incre
29/02/2020,29,2,2020,0,0,Ecuador,EC,ECU,17084357,1
01/03/2020,1,3,2020,1,0,Ecuador,EC,ECU,17084357,2
02/03/2020,2,3,2020,5,0,Ecuador,EC,ECU,17084357,3
03/03/2020,3,3,2020,1,0,Ecuador,EC,ECU,17084357,4
05/03/2020,5,3,2020,3,0,Ecuador,EC,ECU,17084357,5
06/03/2020,6,3,2020,3,0,Ecuador,EC,ECU,17084357,6
09/03/2020,9,3,2020,1,0,Ecuador,EC,ECU,17084357,7
10/03/2020,10,3,2020,1,0,Ecuador,EC,ECU,17084357,8
11/03/2020,11,3,2020,2,0,Ecuador,EC,ECU,17084357,9
14/03/2020,14,3,2020,6,1,Ecuador,EC,ECU,17084357,10
15/03/2020,15,3,2020,5,1,Ecuador,EC,ECU,17084357,11
16/03/2020,16,3,2020,9,0,Ecuador,EC,ECU,17084357,12
17/03/2020,17,3,2020,21,0,Ecuador,EC,ECU,17084357,13
18/03/2020,18,3,2020,53,0,Ecuador,EC,ECU,17084357,14
19/03/2020,19,3,2020,57,1,Ecuador,EC,ECU,17084357,15
20/03/2020,20,3,2020,31,0,Ecuador,EC,ECU,17084357,16
21/03/2020,21,3,2020,227,4,Ecuador,EC,ECU,17084357,17
22/03/2020,22,3,2020,106,0,Ecuador,EC,ECU,17084357,18
23/03/2020,23,3,2020,257,7,Ecuador,EC,ECU,17084357,19
24/03/2020,24,3,2020,192,4,Ecuador,EC,ECU,17084357,20
25/03/2020,25,3,2020,101,9,Ecuador,EC,ECU,17084357,21
26/03/2020,26,3,2020,129,2,Ecuador,EC,ECU,17084357,22
27/03/2020,27,3,2020,192,5,Ecuador,EC,ECU,17084357,23
28/03/2020,28,3,2020,224,7,Ecuador,EC,ECU,17084357,24
29/03/2020,29,3,2020,208,7,Ecuador,EC,ECU,17084357,25
30/03/2020,30,3,2020,55,10,Ecuador,EC,ECU,17084357,26
31/03/2020,31,3,2020,76,4,Ecuador,EC,ECU,17084357,27
01/04/2020,1,4,2020,336,17,Ecuador,EC,ECU,17084357,28
02/04/2020,2,4,2020,456,41,Ecuador,EC,ECU,17084357,29
03/04/2020,3,4,2020,405,0,Ecuador,EC,ECU,17084357,30
04/04/2020,4,4,2020,205,25,Ecuador,EC,ECU,17084357,31
05/04/2020,5,4,2020,97,27,Ecuador,EC,ECU,17084357,32
06/04/2020,6,4,2020,181,8,Ecuador,EC,ECU,17084357,33
07/04/2020,7,4,2020,101,11,Ecuador,EC,ECU,17084357,34
08/04/2020,8,4,2020,248,29,Ecuador,EC,ECU,17084357,35
09/04/2020,9,4,2020,455,22,Ecuador,EC,ECU,17084357,36
10/04/2020,10,4,2020,515,30,Ecuador,EC,ECU,17084357,37
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
